Region,Persons per Sq. Km
KATHAALANI,22
NDATANI,32
KAMUSILIU,40
KAVAANI,9
IKIME,8
KAVAANI,34
MANDONGOI,6
MITAMISYI,15
KIMELA,16
MITAMISYI,25
TUMANA,12
NGOMENI,37
KALWA,32
KAVUTI,44
LOWER YATTA,53
KANYANGI,56
KALULINI,87
NGOMONI,92
SYOMUNYU,82
KANYANGI,82
KAVANGI,128
SYOMAKANDA,70
KANYONGONYO,37
KANYONGONYO,37
KILUMYA,37
KISEUNI,30
KISEUNI,29
KITHIANI,33
MANDONGOI,62
KISAYANI,91
MANDONGOI,63
MASIMBA,51
NZAMBIA,60
NZAMBIA,65
YAMUNYU,51
KWA VONZA,37
KANYONYOO,25
KANYONYOO,16
MWAKINI,51
KWA VONZA,108
TANGANYIKA,108
MIKUYUNI,42
MASAANI,71
MIKUYUNI,33
YATTA,74
ILIKA,77
ILIKA,65
WAIVUMBU,84
KAWONGO,62
KATHOME,58
KAWONGO,66
NDUNGUNI,76
KYAITHANI,78
NDUNGUNI,73
NTHILANI,65
KWAKILYA,70
NTHILANI,60
NTHONGONI,75
KATHEMBONI,79
MUVITHA,71
YATTA,82
MAKUSYA,92
MAMOLE,70
NYANYAA,84
MATINYANI,181
KATHIVO,163
KASAINI,193
KASAINI,193
MAKOLO,193
KATHIVO,150
KALINDILO,145
KATHIVO,155
KITHUMULA,202
KITHUMULA,168
NDIUNI,271
KOMBU,167
KILIMU,145
KYUASI,213
KWA-MULUNGU,115
KWA-MULUNGU,140
MASELELE,104
KWA-MUTONGA,78
KWA-MUTONGA,87
KITHUIYANI,95
KWA-MUMO,78
MUTONGA,91
MITHIIKWANI,67
MIKUYU-MIKYA,72
MITHIIKWANI,54
MIWONGONI,89
SYOKITHUMBI,81
KALIMBEVO,73
SYOKITHUMBI,86
MATINYANI,353
KALIMANI,272
KAVUVUU,380
KYAMBUSYA,206
NZAKAME,312
KAUMA,339
KAUMA,350
MUSOSYA,326
MATINYANI,388
KALIA,405
KATHEUNI,263
KYONDONI,560
MUTULU,451
KATHUMA,486
KITUMBI,441
MASEKI,382
MIGWANI,125
MIGWANI,194
ITOLONI,252
KAVALYANI,307
ITOLONI,201
KYOME,161
KYOME,189
NDALUNI,134
MIGWANI,209
KALILUNI,128
KYAMBOO,305
MIGWANI,319
NZAUNI,195
KIIKINI,312
MUIVU,125
NZAUNI,238
THOKOA,179
KASEVI,220
MUSUANI,159
THOKOA,170
NGUUTANI,94
NGUUTANI,96
KAKULULO,109
NZALAE,82
NGONGONI,181
KAVOLOI,187
MATHUNZINI,240
NGONGONI,157
NZAWA,140
MUTHIONI,97
NZAWA,174
THITANI,79
KAVAINI,58
KASANGA,100
WINZYEEI,46
WIKIVUVWA,41
WINZYEEI,49
KANYAA,245
KANYAA,229
KITULANI,271
THAANA NZAU,59
YENZUVA,66
KYUSYANI,49
THAANA,61
NZELUNI,148
ILALAMBYU,186
ILALAMBYU,153
MUNGALU,244
NZATANI,133
KALUU,82
MWANZILU,185
NZATANI,133
NZELUNI,148
KALIVE,120
NZELUNI,185
MUMONI,48
MUMONI CENTRAL,60
KATSE,52
KAMATHITU,46
KONYU,37
MBARANI,77
MUTANDA,73
KALIWA,70
MUTANDA,86
WANGUTU,69
NGUUKU,63
KATHIANI,67
KATIA,86
MUSOSYA,51
MUMONI SOUTH,38
KAKUYU,41
KAKUYU,55
KYANDALI,63
NGUNGANI,23
MUKONG'A,35
IKOONGO,32
MUKONG'A,39
MUTITU,12
MWITIKA,12
ENDAU,5
KATHUA,16
KATUMBI,2
NDETANI,4
YIUKU,28
KYAMATU,10
KYAMATU,45
MUTHUNGUE,6
NZANZU,20
MALALANI,6
MAKUKA,3
MALALANI,17
SYOU,14
TWAMBUI,6
MWITIKA,39
KATIKONI,28
KAVINGO,40
KIKUU,55
KILAA,75
MAKONGO,22
ZOMBE,56
KASUNGUNI,55
MALATANI,52
NGUNGI,55
THUA,64
MUTITU NORTH,39
MUTITU,39
KALIKU,26
KAVUTENI,27
KAWALA,28
KYAIMU,32
MANYOENI,23
MUTITU,64
ITIKO,35
KITOO,97
MASASINI,44
MUSUKINI,84
MUTOMO,40
IKANGA,79
IKANGA,97
ILUSYA,105
ITHUMULA,64
KATHUNGU,137
KIANGWA,114
MAKELLE,114
NDUUNDUNE,72
KYATUNE,63
KYATUNE,69
NDATANI,38
NGWANI,76
VOTE,55
YONGELA,88
MUTHA,20
MATHIMA,57
KENGO,43
KIATI,49
KIIMANI,59
KIVYUNI,59
MIVUNI,81
NDILILI,98
MUTHA,11
KAATENE,32
KALAMBANI,16
NGAANI,8
NDAKANI,30
ISAA,62
KALIA KATUNE,18
NDAKANI,39
MUTOMO,77
KIBWEA,74
KAWELU,92
KIBWEYA,65
UAE,57
MUTOMO,80
KANDAE,81
KITOO,72
MWALA,92
VOO,41
VOO,41
IMALE,49
KASASI,41
KIANGINE,42
KYAANGO,54
NZUNGUNI,33
MWINGI CENTRAL,95
CENTRAL,163
ENZIU,73
ENZUI,75
KANZUI,69
KAVUVWANI,384
KAVUONI,130
KAVUVWANI,124
MWINGI,"1,491"
KIVOU,108
KISAMA,95
KIVOU,118
MWINGI,199
ITHUMBI,96
KYANIKA,422
KIOMO,65
KAIRUNGU,56
KAIRUNGU,53
KAKONGO,61
KIOMO,91
KIOMO,89
MBONDONI,95
KYETHANI,59
ITENDEU,68
KARURA,55
KYETHANI,57
WIKITHUKI,59
MUMBUNI,132
KALISASI,148
KALISASI,178
MATETA,126
KANZANZU,135
KANZANZU,159
MULANGA,103
KATALWA,111
KATALWA,121
MUTWAATHI,96
KISOVO,125
KILULU,107
KISOVO,141
MATHYAKANI,110
MATHYAKANI,115
NGUNINI,105
MUMBUNI,195
KISUNGULA,220
KWANUNGU,185
WAITA,58
ENDUI,44
KATITIKA,43
NYAANYAA,47
MUTWANGOMBE,67
KATHOKA,64
MURWANA,69
MWAMBUI,71
IKUUSYA,73
MWAMBUI,69
WAITA,58
THONOA,46
WAITA,74
MWINGI EAST,25
MUI,58
KALITINI,51
ITIKO,56
YUMBU,47
MATHUKI,55
KIMONGO,48
KITISE,60
MUI,63
KATHUMO,42
LUNDI,65
NDUVANI,50
NGILUNI,67
NGOO,76
NGUNGI,73
NGUNI,17
IMBA,6
KAMUTIU,38
MWALALI,4
MAAI,55
KITHUMULA,75
KYAVYUKA,43
MBUVU,37
KAKUNIKE,45
KALANGA,45
MBUVU,29
NGUNI,58
MATHYAKANI,37
MWASUMA,75
UKASI,12
UKASI,12
NUU,28
KAVINDU,34
KYANGATI,38
NGUUNI,31
MUTYANGOME,47
MUANGENI,40
MUTYANGOME,47
NGIENI,53
MWAMBIU,22
MUTULU,21
MWAMBIU,25
NUU,43
NGAANI,43
NYAANI,37
KYAMBU,39
NYAANI,35
WINGENI,17
MALAWA,17
NZAMBANI,146
CHULUNI,327
KYANIKA,509
KAVALULA,466
KILONZO,303
MWEMBE TAYARI,936
MALUMA,236
ITHUMULA,213
KAANGWENI,249
NZANGATHI,126
KANDUTI,83
KATUMBU,81
NDUNGA,85
KYALELE,196
KALUVA,169
KIVUMBUNI,231
THUA,67
KENZE,71
KANGUU,120
KYANZAI,57
NGUNGI,63
INYUU,69
KITHO,53
THAGICU,42
MUMONI NORTH,42
KANTHUNGU,43
GATORONI,44
KAMAINDI,44
KANTHUNGU,43
THARAKA,40
GACIGONGO,34
GAKOMBE,45
KANYENGYA,46
TSEIKURU,30
MASYUNGWA,22
KATUMBI,26
KATILINGE,20
KYANDANI,39
MASYUNGWA,19
KASAINI,14
KITOVOTO,38
MULANGONI,23
KATHIANI,64
MUTHUNGUE,15
MUSAVANI,30
KANINGO,22
KAMUTHANGA,19
KANINGO,27
NGERENI,19
MUSAVANI,42
KYENINI,38
NGOMANO,53
WIKITHUKI,34
USUENI,43
KYAMALUTU,38
USUENI,48
TSEIKURU,51
KAIVIRYA,62
KAIVIRYA,35
KALIMBUI,47
KANGARAI,44
NZIITU,67
TOWNSHIP,130
MWANGEA,51
KILAWA,53
MWANGEA,63
SUMONI,43
NGALANGE,49
KATHUNGU,46
NGALANGE,53
NGONGONI,40
CIOKEREKE,41
NGONGONI,40
NZANZENI,44
KASYATHYONI,43
MWANGENI,45
MACHAKOS,236
ATHI RIVER,386
KATANI/MLOLONGO,"1,372"
GITHUNGURI,"4,192"
GITHUNGURI,"4,192"
KATANI,188
KATANI,330
NGELANI,64
MLOLONGO,"2,378"
MLOLONGO,"2,650"
SYOKIMAU,"1,889"
KINANIE/MATHATANI,123
KINANIE,123
KINANIE,178
KWAMBOO,38
MATHATANI,145
LUKENYA,159
LUKENYA,159
KAMULU,172
MUTHWANI,157
MAVOKO,336
ATHI RIVER,"1,097"
ATHI RIVER NORTH,58
ATHI RIVER TOWNSHIP,"7,139"
OLOSHAIKI,54
MAVOKO,146
MAVOKO,67
KANAANI,"1,310"
KALAMA,113
KALAMA,113
KALAMA,219
KIITINI,211
NZIUNI,230
KIMUTWA,48
KAATHI,242
KIMUTWA,319
KONZA,8
KYANZASU,198
KOLA,235
IIUNI,195
KATANGA,269
KYANGALA,242
KAKAYUNI,251
KINOI,266
KYANGALA,212
LUMBWA,216
MUUMANDU,216
KANGUNDO,565
KAKUYUNI,505
KAKUYUNI,532
KAKUYUNI,532
KATHAANA,413
KATHAANA,376
KITHONGONI,468
KATHEINI,458
KAVILINGUNI,458
KAWETHEI,586
KAWETHEI,627
MBUSYANI,558
MUKUNIKE,578
KANGUNDO,676
ISINGA,715
MATETANI,676
MULINGANA,579
ISINGA,845
KANGUNDO,805
MAIUNI,832
MUISUNI,785
KANZALU,675
KIKAMBUANI,797
KILIKU,446
MBILINI,663
NDUNDUNI,879
KITWII,505
KAWAUNI,410
KITWII,636
KIVAANI,446
KIVAANI,446
IIA-ITUNE,377
KATITU,470
KIVI,553
MIU,420
NGUMUTI,554
KYEVALUKI,514
KYEVALUKI,514
KATHOME,525
KYEVALUKI,506
KATHIANI,548
IVETI,583
IVETI,583
IVETI,633
KAANI,327
KALILUNI,771
KITUNDUNI,655
KOMBU,833
MBUUNI,490
KATHIANI,640
KAEWA,640
ITHAENI,511
KAEWA,781
KALUNGA,931
KAUTI,440
KITHIA,816
KATHIANI,640
KAIANI,486
KATHIANI,892
LITA,510
MBEE,647
NGOLENI,763
MITABONI,435
MITABONI,435
KINYAU,235
MATHUNYA,545
MITABONI,616
MIUMBUNI,362
NGIINI,706
THINU,670
MACHAKOS,609
CENTRAL,"1,163"
KIIMA KIMWE,"1,178"
KATOLONI,726
KIIMA KIMWE,672
MBILINI,482
MUTHINI,"7,403"
MWANYANI,"1,619"
MUMBUNI,"1,287"
KASINGA,"1,055"
LOWER KIANDANI,"2,112"
MISAKWANI,857
MUNGALA,962
UPPER KIANDANI,"1,793"
MUVUTI,527
KIVANDINI,551
MUVUTI,497
TOWNSHIP,"2,309"
EASTLEIGH,"2,008"
MJINI,"2,645"
MUTITUNI,418
MUA,170
KYAANI,120
KYANDA,197
MUA HILLS,184
MUTITUNI,"1,151"
KIVUTINI,"1,201"
MUTITUNI,"1,666"
NDUU,756
NGELANI,619
KAMUTHANGA,707
NGELANI,502
NZOWENI,711
VOTA,243
KATHEKA KAI,243
KATELEMBO,317
KATHEKA KAI,402
KITANGA,204
MIKUYU,148
MASINGA,106
EKALAKALA,127
EKALAKALA,123
EKALAKALA,132
NZUKINI,108
IKAATINI,133
IKAATINI,148
ITUNDUIMUNI,124
MASINGA,85
KANGONDE,82
KANGONDE,76
KIKUMINI,89
MIKUYUNI,90
MUSINGINI,77
KITHYOKO,81
THATHA,79
EENDEI,67
KITHYOKO,111
MIANGENI,68
KIVAA,76
IIANI,60
KYONDONI,57
KAEWA,119
KIVAA,77
MASINGA,106
KATULYE,88
MUKUSU,100
MUSUMAA,122
MASINGA,126
NDITHINI,153
MANANJA,222
KASUVILO,153
MANANJA,309
MUTHESYA,171
KATHUKINI,229
KIKULE,98
MUTHESYA,305
NDITHINI,108
KIATINENI,137
MILAANI,51
NDITHINI,316
MATUNGULU,278
CENTRAL,212
KALANDINI,418
KALANDINI,385
KATANGINI,450
MBUNI,471
MATUU,146
KWALE,167
MATUU,291
WENDANO,75
KYANZAVI,224
KIBOKO,288
KIBOKO,441
UAMANI,153
KYANZAVI,230
KAYATTA,231
KIANZAMBE,286
KWA KUMBU,169
KAYANZAVI,254
KYELENI,180
KITULUNI,168
KWOSAU,312
KYELENI,247
NZAMBANI,316
OLDONYO SABUK FOREST,2
MATUNGULU,339
KOMAROCK,166
KOMA,254
MUKENGESYA,89
MATHEINI,361
KATHEKA,201
KING'OTI,762
MATHEINI,484
MATUNGULU,672
KAMBUSU,722
MUTHWANI,559
MWATATI,729
NGULUNI,323
KITHIMANI,464
KITHUANI,281
KWANGII,167
NGULUNI,527
TALA,895
KATINE,657
KYAUME,"1,433"
SENGANI,843
MWALA,179
KIBAUNI,105
IKALAASA,103
KAMUTHWA,109
MATULANI,61
NDITHINI,93
NGUNGI,165
KIBAUNI,108
ITUMBULE,146
KITILE,89
MUKAA,98
NGOMANO,106
KILALA,107
KIUNDWANI,103
MASII,227
MAKUTANO,198
EMBUI,165
KYAMUTWII,230
MATHUNTHINI,253
MANGO,226
KYANGANGA,262
WETAA,190
MASII,233
KAVUMBU,201
KITHANGAINI,209
MBAANI,186
MITHINI,214
UTITHINI,327
MUTHETHENI,205
KALIAMBEU,215
KANG'ETHE,181
KIONYWENI,188
KYETHIVO,205
NTHAANI,241
VYULYA,288
MITHANGA,303
MUUSINI,313
UUNI,271
MWALA,221
KATHAMA,230
ETIKONI,184
KATITU,228
KWA MUTULA,211
MUTHWANI,266
ULAANI,284
KYAWANGO,113
KANGII,66
KYAWANGO,111
MAWELI,153
MBIUNI,257
KABAA,219
MAKILIVA,314
MBIUNI,328
MUMBUNI,217
NYAANYAA,279
MWALA,261
KAMWALA,312
KIBAU,332
KIVANDINI,239
MYANYANI,231
NGULINI,192
YATHUI,142
MIU,168
KALAMBA,141
KIKULUMI,150
KYAWIKYO,160
NGAMBA,196
UTITHINI,188
WAMUNYU,142
KAITHA,124
KAMBITI,133
KILEMBWA,97
KYAWANGO,227
NYAANI,156
YATHUI,122
KWAKALA,81
KYAMATULA,147
KYANGULUMI,142
YATTA,162
IKOMBE,116
IKOMBE,124
IKOMBE,126
KITHEUNI,113
KYASIONI,139
KINYAATA,110
KINYAATA,102
MAKUTANO,117
MATHINGAU,111
KATANGI,103
KATANGI,120
KATANGI,142
MEKILINGI,103
KYUA,91
SYOKISINGA,93
KYUA,90
MATUU,237
MATUU,270
KAKUMINI,215
KALULUINI,148
KATULANI,156
MATUU,"1,018"
NDALANI,205
KIVINGONI,159
MAMBA,254
NDALANI,228
YATTA,205
KITHIMANI,205
KAMBI YA NDEKE,159
KITHENDU,335
KITHIMANI,164
MAVOLONI,205
KISIIKI,259
KWANDOLO,215
MAVOLONI,169
MAKUENI,121
KATHONZWENI,91
KANTHUNI,81
KANTHUNI,81
IVINGA - NZIA,87
KANTHUNI,82
YEKANGA,75
KATHONZWENI,118
KATHONZWENI,136
ITUKA,158
THAVU,115
KWAKAVISI,99
KAVINGONI,113
KWAKAVISI,87
KITHUKI,83
KANZOKEA,95
KIMUNDI,121
YINTHUNGU,79
KITHUKI,74
KITHUKI,74
KITISE,69
KIANGINI,72
KIANGINI,81
KITEEI,65
KITISE,69
KITISE,69
MBUVO,79
KITULINI,79
MWANIA,56
MWANIA,56
MAVINDINI,114
MAVINDINI,107
KATITHI,93
MAVINDINI,118
MUUSINI,129
KIUMONI,134
MUUSINI,126
KIBWEZI,63
KIBWEZI,122
KIKUMBULYU,133
KALUNGU,194
KATHYAKA,90
MBUINZAU,165
MIKUYUNI,630
NDETANI,164
NGANDANI,203
NGULU,62
MASONGALENI,100
KYANGULI,104
MASIMBANI,93
MASONGALENI,144
ULILINZI,83
MACHINERY,121
KINYAMBU,75
KINYAMBU,75
UTITHI,164
THANGE,172
UTITHI,155
MTITO ANDEI,91
KAMBU,85
KAMBU,132
KITENG'EI,54
KATHEKANI,58
KATHEKANI,58
MTITO ANDEI,68
MTITO ANDEI,68
NGWATA,87
MUKAANGE,87
NTHONGONI,137
MANG'ELETE,137
NZAMBANI,160
MUTHINGIINI,160
CHYULU GAME RESERVE,
CHYULU GAME RESERVE,
CHYULU GAME RESERVE,
TSAVO EAST NATIONAL PARK,-
TSAVO EAST NATIONAL PARK,-
TSAVO EAST NATIONAL PARK,-
KILUNGU,395
ILIMA,312
ILIMA,287
KYAKATONI,284
MATWIKU,298
MWAANI,280
KYAMUOSO,318
ENGAVU,276
ISOVYA,361
NDOLO,384
KYANGA,380
NDOLO,387
WAUTU,257
ITHUMA,330
MBUSYANI,209
KILUNGU,456
KIKOKO,565
KALONGO,561
KISEKINI,603
KITHANGATHINI,515
KILUNGU,316
MUSALALA,316
KITHEMBE,437
KAUTI,429
NDIANI,449
NDUU,434
MAKINDU,100
MAKINDU,100
KIBOKO,41
KAASUVI,31
KYALE,42
MULILII,71
MAKINDU,172
KAI,103
KAMBOO,40
KISINGO,90
KIU,292
MANYATTA,"1,072"
NGUUMO,155
KAUNGUNI,179
MUUNI,217
NDOVOINI,137
SYUMILE,95
TWAANDU,66
KALII,63
MITENDEU,65
NGAKAA,70
MAKUENI,214
KAITI,243
IUANI,229
IKUUA,192
IUANI,315
WANZIU,216
KILALA,265
KAUMONI,271
KILALA,322
NTHANGU,181
KIVANI,190
KIVANI,201
MAKONGO,180
MUKUYUNI,379
MUKUYUNI,379
UKIA,216
KYUASINI,173
MIWANI,211
MUMBUNI,187
UTAATI,197
NZUUNI,345
KEE,274
IKALYONI,260
IKALYONI,273
NTHONZWENI,248
KEE,347
KYAMWALYE,347
WATEMA,256
KASUNGUNI,255
KITANDI,244
MUTULANI,291
NGULUNI,238
WOTE,188
KIKUMINI,106
KAMBI MAWE,136
KIKUMINI,93
MUMBUNI,141
ITAA,119
MUMBUNI,153
MUVAU,117
KITONYONI,106
MUBAU,123
NZIU,198
NZIU,198
WOTE,393
KAMUNYOLO,574
UNOA,309
MBOONI EAST,141
KAKO,133
KAKO,133
KAKO,132
KYALUMA,107
MIAU,148
MBIMBINI,133
MBIMBINI,125
MITUVU,157
KALAWA,96
ATHI,77
KAVUMBU,75
MIANGENI,80
KALAWA,93
KALAWA,120
KIMEENI,81
MWELELI,85
MAKINYA,121
KASOONI,114
MALUNDA,108
MBUKONI,133
MBAVANI,81
KALOOI,68
KINZE,92
KATHULUMBI,86
KATANGINI,106
ITITU,112
THWAKE,100
KATHULUMBI,71
KATHULUMBI,69
MUTEMBUKU,78
SYOTUVALI,69
NDAUNI,101
KATHONGO,77
NDAUNI,127
KISAU,202
KALIMANI,214
MUKIMWANI,219
MUTHWANI,225
NDUUNI,197
KISAU,189
MANGANI,164
MWANA,221
NGONI,206
KITETA,277
KITETA,277
KAKUSWI,262
NDITUNI,302
NGILUNI,241
NGAA,198
UTUNENI,291
KIAMBWA,328
KANYENYONI,310
TAWA,336
WAIA,148
NDULUKU,130
MITHUMO,147
MUKUKU,114
USALALA,176
USALALA,193
WAMBITI,149
WAIA,139
SAKAI,139
MBOONI WEST,379
KITUNDU,362
KILYUNGI,565
KILYUNGI,697
KINYASYE,450
KITHUNGO,294
KALIANI,265
NGAI,305
UVUU,458
KITUNDU,419
KITUNDU,419
MATAA,389
KIUMI,286
MATAA,527
UTANGWA,393
KAVUMBU,315
UTANGWA,477
MBOONI,564
KYUU,552
KYUU,761
MUKUMU,384
MBOONI,525
MUTITU,651
NGAA,535
UTHIUNI,415
NZEVENI,644
KIKIINI,547
NZEVENI,770
TULIMANI,303
ITETANI,233
ITETANI,233
KALAWANI,285
KALAWANI,285
MAVINDU,507
MAVINDU,507
TULIMANI,228
IIANI,228
WANZAUNI,216
WANZAUNI,216
YANDUE,466
MBANYA,453
YANDUE,479
MUKAA,134
KASIKEU,214
KASIKEU,252
KASIKEU,278
KITHINA,224
MUMELA,208
MASOKANI,210
MUMELA,206
WATHINI,194
UVALENI,175
WATHINI,207
KILOME,253
KITAINGO,228
KIONGWANI,192
KITAINGO,271
MUKAA,276
KILOME,269
MAIANI,289
KIOU,120
KWALE,134
KIOU,163
KWALE,119
MUANI,116
LUMU,180
MUANI,223
SULTAN HAMUD,78
MALILI,93
KASALAMA,91
KASALAMA,91
KIIMAKIU,149
KAVUKO,159
KIIMAKIU,147
MALILI,86
MALILI,149
MAVIVYE,204
MUUMANDU,53
KIMUTWA,49
NGAAMBA,84
ITUMBULE,107
NGAAMBA,75
NZAUI,163
KALAMBA,225
IKANGAVYA,200
IKANGAVYA,181
KALEMBWANI,255
KALAMBA,267
KALAMBA,277
KWAKALUI,252
KITHUMBA,202
KITHUMBA,215
NDUUMONI,159
NZEENI,231
MATILIKU,167
KAWALA,174
KAWALA,121
MAVIAUME,190
NDOVEA,271
KILILI,133
KATHATU,118
KILILI,181
MULENYU,98
WEE,150
NZAUI,213
KWAKUKUI,155
MATILIKU,285
MBITINI,263
KAKUTHA,260
KITHUMANI,228
MANOONI,307
KAVUTHU,242
KAVUTHU,217
VULUENI,263
KYEMUNDU,273
KALIINI,308
KYEMUNDU,270
MBELETU,305
YUMBANI,222
MASUE,291
MASUE,291
MUNGYANI,222
MUAMBWANI,101
MUNGYANI,414
MUTISWA,260
KATANI,210
MUTISWA,314
MUTYAMBUA,290
KYUMBUNI,275
MUTYAMBUA,310
MULALA,248
EMALI,260
EMALI,388
KWAKAKULU,121
TUTINI,117
MULALA,250
ITETA,224
KATUNE,366
MAATHA,168
MATIKU,352
NGETHA,209
MWASANGOMBE,227
NGETHA,204
NGUU,82
ITHUMBA,96
KAKILI,84
MASUMBA,84
MII,99
MITHUMONI,118
KIKUMINI,113
KIKUMINI,115
NDUNGUNI,111
MWEINI,65
MWEINI,60
VOLOLO,63
YIKIVUMBU,77
NGUU,79
KANYILILYA,82
MASAMUKYE,69
NTHUNGUI,83
WOLWA,78
MAKASA,42
THITHI,121
WOLWA,89
NYANDARUA,194
KINANGOP,379
NYAKIO,491
NYAKIO,491
HARAKA,481
KAGERAINI,380
KARANGATHA,650
KIHUNGURU,583
MUKEU,432
RWANYAMBO,525
YAANGA,393
MAGUMU,433
MAGUMU,433
BAMBOO,842
GITWE,381
HENI,185
KARATI,267
MATURA,408
MUTONYORA,843
S. KINANGOP,382
NJABINI,382
KARIAINI,406
KIANDEGE,442
KIBURU,504
MURUAKI,229
NJABINI,397
TULAGA,363
GITHABAI,208
GITHABAI,208
GITHABAI,246
KOINANGE,247
NDOTHUA,139
PHASE LL,262
NYANDARUA SOUTH,299
CENTRAL,262
ENGINEER,283
ENGINEER,795
GATHARA,334
KAHURU,202
WERU,215
MURUNGARU,227
HIANYU,326
KAMBATA,174
OLMAGOGO,193
NORTH KINANGOP,361
KITIRI,325
KINJA,313
KITIRI,227
RAITHA,505
NORTH KINANGOP,390
KIAMBARIKI,367
MEKARO,515
MKUNGI,290
NANDARASI,627
MIRANGINE,274
MIRANGINE,241
MATHAKWA,320
MATHAKWA,300
MICHARAGE,346
MIRANGINE,313
KURUNGU,339
MIRANGINE,283
MATINDIRI,141
MATINDIRI,154
WANJURA,121
NGORIKA,292
NYAITUGA,350
NYAITUGA,308
WIYUMIRIRIE,437
NGORIKA,252
NGORIKA,252
RUTARA,320
KANJAU,328
RUTARA,316
SABUGO,370
SABUGO,560
NYAKIAMBI,725
SABUGO,390
GITUAMBA,374
GITUAMBA,423
KIHUHO,308
MATUNDA,320
MATUNDA,320
DUNDORI,300
KARANDI,270
MUTARAKWA,335
RUIRU,287
TUMAINI,216
KANJUIRI,185
KAGAA,102
KAGUMU,250
KANJUIRI,238
KAGUNDA,245
KIHOTO,311
MURINDATI,186
TUMAINI,226
GATHUNDIA,347
UPPER-GILGIL,133
KIPIPIRI,206
GETA,482
GETA,586
GETA,619
KAGONGO,467
RUTUBA,718
KIAMBOGO,453
KIAMBOGO,479
KIANJOGU,404
MAKUMBI,431
MAKUMBI,436
MIHATO,421
RUMWE,435
MIKEU,456
KANGURUNGA,434
MIKEU,478
KIPIPIRI,173
KIPIPIRI,286
KIRIMA,284
MACHINERY,221
MIHARATI,388
LERESHWA,149
KABATI,161
LERESHWA,134
MALEWA,138
GITWE,142
KIMATHI,139
MALEWA,132
MAWINGU,179
GITHIORO,235
MAWINGU,160
MUMUI,111
TURASHA,123
KIRIKO,181
MUNORU,90
WANJOHI,191
GATONDO,158
GATONDO,182
HUHIRIO,146
RIRONI,156
NDEMI,145
KIMURU,141
MICHORE,135
NDEMI,159
WANJOHI,279
GITEI,290
MAHIGAINI,198
WANJOHI,328
NYANDARUA CENTRAL,217
KAIMBAGA,232
GICHUNGO,371
GICHUNGO,369
MATHATHI,213
THITAI,550
KAIMBAGA,129
KANDUTURA,148
RUMATHI,108
MAWINGO,166
KIRIMA,112
KIRIMA,141
THABA,82
MAWINGO,200
KANYIRIRI,252
KARUGUTU,229
MAWINGO,147
MUNDI,195
OLKALOU,261
KAGAA,202
KAGAA,143
MUIRI,278
OLEOLONDO,218
MUNYEKI,139
KAHUHO,135
MUNYEKI,142
OLKALOU,474
KWALE,124
MANYATTA,214
TOWNSHIP,"1,278"
RURII,206
PASSENGA,231
GITHUNGURI,359
MATURA,239
PASSENGA,196
SILANGA,142
RURII,178
GIKUMBO,188
MANYATTA,155
MUKINDU,113
RURII,351
NYANDARUA WEST,255
BOIMAN,249
HUHO-INI,315
GITUAMBA,360
HUHO-INI,272
SILIBWET,194
KAMWANGI,215
SILIBWET,184
GATHANJI,179
GATHANJI,140
CHAMUKA,141
GATHANJI,139
NGANO,263
NGANO,285
NGATHA,240
GATIMU,459
GATIMU,636
GATIMU,523
MADARAKA,827
GIKINGI,"1,324"
GIKINGI,972
RIVERSIDE,"1,730"
KIWANJA,194
KANGUU,183
KIWANJA,206
OL JORO OROK,202
NYAIROKO,117
NYAIROKO,118
KIANIA,116
OL JORO OROK,358
LESIRKO,473
SIMBA,217
ORAIMUTIA,142
GICHAKA,185
ORAIMUTIA,104
WERU,209
GATUMBIRO,209
GATUMBIRO,335
KIHARO,144
KIRIMANGAI,264
KIRIMANGAI,300
GATHUNDIA,229
WERU,188
KASUKU,231
WERU,155
NYANDARUA NORTH,187
KANYAGIA,145
KANYAGIA,214
GATHERU,231
MAGUMU,202
KIHARA,124
KAHIGA,145
KIHARA,111
MURUAI,126
GITHIMA,149
MURUAI,108
MUTANGA,237
KIRIITA,345
KIRIITA,371
SHAURI,328
LESHAU,193
KAHEMBE,206
KARAGOINI,221
MBUYU,179
MUNGETHO,205
MAIRO-INYA,538
GATHANGA,441
GITHUNGUCHU,124
MAIRO-INYA,"1,282"
MATHINGIRA,151
KIRERA,130
LESHAU PONDO,227
MATHANJI,222
NGAWA,94
NDIVAI,138
NDARAGWA,155
KAHUTHA,140
KAHUTHA,237
NGAMINI,102
KIANJOGU,149
KIANJOGU,198
NDURURI,108
URUKU,174
KIRIOGO,159
KARIKI,146
KIRIOGO,184
MURICHU,251
MATUIKU,264
MURICHU,243
SHAMATA,178
KIRIMA,111
GAKOE,97
KIRIMA,122
MWIHOKO,204
KARANDI,285
KILIMANJARO,193
PESI,138
SHAMATA,212
SHAMATA,251
SIMBARA,128
ABERDARE NATIONAL PARK,
ABERDARE NATIONAL PARK,
ABERDARE NATIONAL PARK,
ABERDARE NATIONAL PARK,
NYERI,228
TETU,372
TETU EAST,636
AGUTHI,563
GICHIRA,635
GITITU,606
ITHEKAHUNO,600
MUNGARIA,540
THAGE-INI,437
GAAKI,623
GAAKI,590
GATHAITHI,527
HUHO-INI,659
KIAWAITHANJI,646
MUTATHI-INI,721
KARUNDU,714
KAIGURI,683
KARIGU-INI,769
KIANJOGU,775
KIGWANDI,723
KIHORA,679
