Region,Persons per Sq. Km
KACHORORONI,128
MAGOGONI,112
NYARI,239
RARE,87
VITENGENI,76
MADAMANI,184
MITSEDZINI,25
VITENGENI,40
ARABUKO SOKOKE FOREST,
ARABUKO SOKOKE FOREST,
ARABUKO SOKOKE FOREST,
KALOLENI,274
KALOLENI,539
CHANAGANDE,447
BIRINI/MWAMLEKA,356
CHALANI/MIHINGONI,657
MIKIRIANI,364
JIBANA,483
CHILULU,478
KWALE,573
NYALANI,653
TSAGWA,280
KALOLENI,702
KALOLENI/VISHAKANI,828
KINANI/MAKOMBOANI,462
MARIAKANI,253
MARIAKANI,485
KAWALA/KADZONZO,412
MARIAKANI/MITANGONI,530
TSANGATSINI,81
MNYENZENI,119
TSANGATSINI,68
MWANAMWINGA,188
KAYAFUNGO,289
MBALAMWENI,246
MRIMANI,376
KINAGONI,175
KINAGONI,165
MIYANI,186
MWANAMWINGA,147
KIBWABWANI,192
KITHENGWANI,160
VIRAGONI,119
KAUMA,125
JARIBUNI,125
JARIBUNI,94
CHIVARA,145
MARERE,135
MWAPULA,54
KAUMA,113
MAGOGONI/MATOLANI,95
MDANGARANI,110
MSANDA,60
VINAGONI,208
VYAMBANI,268
NGAMANI,237
VYAMBANI,313
KILIFI NORTH,676
BAHARI,676
MATSANGONI,456
MATSANGONI,482
MKONGANI,520
UYOMBO,389
NGERENYA,422
EZAMOYO,364
NGERENYA,564
ZOWERANI,342
ROKA,406
CHUMANI,405
ROKA,408
TEZO,769
KIBARANI,"1,158"
MAJAONI/MTONDIA,587
TOWNSHIP,"1,110"
HOSPITAL,"3,443"
KONJORA,401
MNARANI,704
SOKONI,"7,864"
KILIFI SOUTH,712
KIKAMBALA,712
JUNJU,386
JUNJU,321
KURUWITU,512
VIPINGO,380
MAVUENI/TAKAUNGU,357
KIRIBA/WANGWANI,260
MAVUENI/MAJAJANI,464
MKOMANI/MKWAJUNI,264
TAKAUNGU,531
MTWAPA,"1,627"
KANAMAI,"1,901"
KIDUTANI-MAWAMBA,419
KIJIPWA,"1,133"
SHIMO LA TEWA,"3,752"
MAGARINI,37
MAGARINI,166
FUNDI ISSA,102
FUNDI ISSA,86
MARERENI,110
GONGONI,225
GONGONI,300
NGOMENI,277
SHOMELA,67
MAGARINI,238
BOMANI,147
MAMBRUI,552
MARIKEBUNI,267
PUMWANI,112
MARAFA,15
ADU,6
ADU,8
KADZANDANI,35
KAMALE,2
RAMADA,47
BUNGALE,11
BARICHO,53
DAKACHA,5
GANDINI,77
WAKALA,39
CHAMARI,8
CHAMARI,8
DAGAMRA,146
BATE,259
BURA,108
KAYA,129
GARASHI,73
MASINDENI,100
MIKUYUNI,164
SINGWAYA,46
MARAFA,59
BORE,66
MADINA,67
MAMBASA,35
MALINDI,147
LANGOBAYA,24
CHAKAMA,10
KISIKI CHA WAGIRIAMA,17
MAKONGENI,7
MATOLANI,19
JILORE,131
GIRIMACHA,73
JILORE,167
KAKONENI,145
LANGOBAYA,96
LANGOBAYA,121
MAKOBENI,50
MALANGA,162
MKONDONI,75
MALINDI,820
GANDA,651
GANDA,604
MERE,572
MSABAHA,755
GEDE,537
DABASO,735
MIDA MAJAONI,495
MIJOMBONI,408
MKENGE,406
GOSHI,244
KAKUYUNI,341
MADUNGUNI,493
MALIMO,170
MONGOTINI,181
PAZIANI,252
MALINDI,"1,834"
BARANI,"3,574"
CENTRAL,"2,768"
KIJIWETANGA,966
SABAKI,718
SHELLA,"3,577"
WATAMU,603
CHEMBE KIBABAMCHE,289
JIMBA,520
MrgOBARAKA CHEMBE,455
WATAMU,"4,023"
RABAI,581
KAMBE/RIBE,291
KAMBE,782
MBWAKA/KIKOMANI,782
PANGANI/MAERENI,202
PANGANI/MAERENI,202
RIBE,182
CHAURINGO,450
KINUNGUNA/FORODHANI,102
MWAWESA,525
MIKAHANI,451
MIKAHANI,451
MWAWESA,487
BWAGAMOYO,481
CHANG'OMBE,308
MWAMTSUNGA,"1,343"
RURUMA,564
JIMBA,321
MIKOMANI,543
MIYUNI,852
MLEJI,696
RABAI,969
RABAI,969
BUNI KISIMANI,538
KALIANGOMBE,698
MGUMO WA PATSA,"2,385"
MWELE KISURUTINI,901
TANA RIVER,8
TANA DELTA,7
GARSEN,4
ASSA,
ASSA,
ONJILA,
BILISA,39
CHIRA,14
GARSEN,55
GALILI,50
DANISA,48
DUMI,53
GALILI,50
GALMA,9
ABAGANDA,7
SERA,11
KONE,
KONE,
MWINA,21
BENDERANI,25
MIKAMENI,18
NDERA,11
BAHATI,6
BAOMO,8
MNAZINI,94
SALAMA,14
MAZIWA,9
WEMA,46
SHIRIKISHO,31
DALU,24
IDSOWE,39
KIPINI,50
KILELENGWANI,61
KAU,52
KILELENGWANI,85
KIPINI,58
KIPINI,137
MATANGENI,39
OZI,20
OZI,22
MPEKETONI,17
TARASAA,37
CHARA,39
CHAMWANAMUMA,33
SEMIKARO,50
KIPAO,59
KIPAO,83
ONGONYO,31
KONEMANSA,29
KIKOMO,13
ODOLE,82
NGAO,22
GOLBANTI,50
NGAO,97
TARASAA,15
WACHU ODA,46
BURA KOFIRA,212
HANDARAKU,67
KURAWA,25
ODA,89
TANA NORTH,9
BURA,8
BURA,69
BISADI,39
BISIKDERA,48
METI,188
CHEWELE,4
BILBIL,1
CHEWELE,30
WADESA,18
DUKANOTU,13
CHARIDENDE,19
DUKANOTU,6
HIRIMANI,2
HIRIMANI,1
WALESOREA,4
HOSINGO,4
HALO,7
WALESTOKOCHA,1
NANIGHI,22
BAWAMA,13
NANIGHI,36
SABUKIA,1
KANIKI,1
TITILA,2
MADOGO,24
ARERI,2
TULA,2
MADOGO,234
MADOGO,"1,269"
MARAMTU,25
MORORO,559
MORORO,"14,171"
ZIWANI,197
SAKA,11
KONORAMADHA,39
MULANJO,7
SALA,10
SALA,50
SOMBO,5
MBALAMBALA,6
BUWA,4
BUWA,11
KORATI,2
MBALAMBALA,18
ASAKO,14
PAMBA,48
BANGALE,4
BANGALE,7
BANGALE,6
KURITI,8
BOKA,1
BOKA,1
KAMAGURU,4
EL RAR,55
KAMAGURU,2
ODOWAN,4
TANA RIVER,10
GALOLE,8
CHEWANI,387
CHEWANI,205
HOLA MISSION,"2,938"
CHIFIRI,5
CHIFIRI,3
HAKOKA,26
DABA,2
DABA,2
DAYATE,6
DAYATE,27
GURURI,3
HARORESA,4
HARORESA,4
KALKACHA,3
CHAMARI,1
KALKACHA,20
KIARKUNGU,36
KIARKUNGU,43
MATANYA,32
LAKOLE,1
KESI,1
MAKERE,35
BUBU,21
GHOREI,92
MASABUBU,29
MASABUBU,17
RHOKA,37
MIKINDUNI,102
LENDA,61
MIKINDUNI,191
MILALULU,66
BOHONI,54
LAINI,77
TITILA,3
TITILA,3
WALDENA,4
WALDENA,4
WAYU,6
KOTICHA,4
WAYU,8
ZUBAKI,"1,342"
HOLA,"1,108"
KASARANI,414
KIBUYU,"3,484"
WENJE,25
GWANO,10
HARA,4
MARONI,32
WENJE,28
JAMHURI,46
BUBUBU,46
KINAKOMBA,25
MAJENGO,20
MASALANI,29
MAZUNI,67
GAFURU,54
MAZUNI,120
MKOMANI,72
NDURA,119
BONDENI,287
HANDAMPIA,58
LAMU,23
LAMU EAST,10
BASUBA,1
BASUBA,1
KIANGWE,2
MARARANI,1
MILIMANI,1
MANGAI,2
MANGAI,2
FAZA,130
FAZA,87
KWATINI,40
KWATONGANI,"11,077"
PATTE,195
PATE,195
SIYU,93
SHANGA,101
SIYU,89
TCHUNDWA,498
TCHUNDWA,498
KIUNGA,5
KIUNGA,5
MKOKONI,1
RUBU/MWAMBORE,27
KIZINGITINI,214
KIZINGITINI,635
KIZINGITINI,635
MBWAJUMWALI,309
MYABOGI,309
NDAU,62
KIWAYUU,108
NDAU,48
LAMU WEST,31
AMU,282
LANGONI,"1,167"
LANGONI,"1,167"
MATONDONI,80
KIPUNGANI,45
MATONDONI,102
MKOMANI,"2,388"
MKOMANI,"2,388"
SHELA/MANDA,70
MANDA,32
SHELLA,166
HINDI,17
HINDI / MAGOGONI,11
BARGONI,3
BODHEI JUNCTION,5
HINDI,22
MOKOWE,104
KILIMANI,64
MOKOWE,133
MKUNUMBI,18
MAJEMBENI,42
MAJEMBENI,72
MAVUNO,27
MKUNUMBI,9
KORENI,11
MKUNUMBI,9
NDAMBWE,37
KIZUKE,40
NDAMBWE,35
MPEKETONI,114
BAHARINI,54
BAHARI,63
TEWE,46
HONGWE,99
BOMANI,84
HONGWE,125
MAPENYA,120
MAPENYA,142
UZIWA,105
MPEKETONI,312
CENTRAL,368
KIONGWE,212
WITU,14
DIDEWARIDE,11
CHALALUMA,84
MOA,7
PANDANGUO,1
JIMA,1
PANDANGUO,1
WITU,67
SENDEMKE,31
SOROKO,69
WITU,263
TAITA/TAVETA,20
MWATATE,30
MWAMBIRWA,98
RONGE,86
KIGHOMBO/MARUMBENYI,83
MSAURAHAI,166
RONGENYIKA,74
RONGEJUU,130
KIRONGE/MWAKALERI,122
KISHAU/KIWETO,111
NDEMBONYI/BAGHAU,205
MWATATE,28
BURA,167
ILOLE,383
MNAMU,137
MRUGHUA,252
NYOLO,115
SAGHAIGHU,304
CHAWIA,317
CHAWIA,276
WUSI,340
KIDAYANGERENYI,538
KIDAYA,590
MACHAKISAGHALA,510
NGERENYI,522
KISHAMBA,284
KAYA ILOLE,288
KISHAMBA,376
MWACHAWAZA,221
MENGO,56
MENGO,56
MWACHABO,9
MRURU/MANGANGA,530
MWACHABO,6
WUMARISECHU,19
MWAKITAU,28
GODOMA,70
MLUGHIMWASHUMA,113
MWAKITAU,14
MWATATE,55
MODAMBOGHO,76
MWATATE,941
SEMBE,12
TAITA,117
WUNDANYI,117
KISHUSHE,23
KISHUSHE,21
PARANGA,28
MBALE,197
CHOKE,135
MBALE CENTRAL,325
MLECHI,109
MOGHO,444
WERUGHA,283
MARUMANGE,691
MLONDO,572
SAGHASA,128
WERUGHA,576
WUMINGU,219
MGHAMBONYI,290
MWARUNGU,281
NYACHE,152
WUMINGU,258
WUNDANYI,686
MTENI,"1,488"
SHIGHARO,382
SUNGULULU,860
WUNDANYI,679
MGANGE,283
LUSHANGONYI,539
MGANGE DAWIDA,462
MGANGE NYIKA,547
MWAROKO,86
MWANDA,47
KISHAMBA,31
NJAWULI,101
TAVETA,14
BOMENI,226
KIMORIGO,83
ELDORO,169
KIMORIGO,43
KITOBO,113
KITOBO,122
MRABANI,107
MAHOO,374
MAHOO,"1,600"
MALUKILORITI,200
MBOGHONI,401
MBOGHONI,271
NJORO,556
NGARIGHASHI,973
LESESIA,856
MJINI,"1,089"
CHALA,90
CHALA,63
CHALA,45
MAHANDAKINI,176
NAKRUTO,57
KIDONGU,71
NAKRUTO,48
NJUKINI,157
CHUMVINI,225
LUMI,76
NJUKINI,285
JIPE,70
KIMALA,189
KIMALA,353
REKEKE,103
MATA,37
KACHERO,21
MATA,58
TIMBILA,211
MSENGONI,235
NDILIDAU,201
TSAVO WEST NATIONAL PARK,
TSAVO WEST NATIONAL PARK,
TSAVO WEST NATIONAL PARK,
VOI,15
NYANGALA,11
KASIGAU,8
BUGUTA,56
MAKWASINYI,4
RUKANGA,5
MARUNGU,16
MIASENYI,10
MAUNGU,19
TAUSA,54
MBOLOLO,89
MRARU,108
TAUSA,66
NGOLIA,37
GHAZI,24
NDOME,42
WONGONYI,105
VOI,169
SAGALLA,35
KISHAMBA,36
NDARA,55
TALIO,21
TERI,37
VOI,575
KALOLENI,518
MWANGEA,689
TSAVO EAST NATIONAL PARK,
TSAVO EAST NATIONAL PARK,
TSAVO EAST NATIONAL PARK,
GARISSA,19
BALAMBALA,9
BALAMBALA,5
BALAMBALA,146
BALAMBALA,166
BURADANSA,110
DUJIS,2
DUJIS,5
SHIDLE,
JARAJARA,20
JARAJARA,24
KONE,14
OHIO,1
ABDIGAB,1
ASHADIN,1
OHIO,3
DANYERE,6
DANYERE,6
DANYERE,82
URGAAD,2
LIBAHLOW,3
DOGOB,2
LIBAHLOW,7
MUDEY,24
MUDEY,24
SAKA,22
DALEY,36
DALEY,36
KASHA,27
DABELEY,14
KASHA,47
KUNO,76
KUNO,76
SAKA,16
HADLEY,22
SAKA,37
SAKA JUNCTION,2
DADAAB,29
DADAAB,48
ABAKAILE,9
ABAKAILE,9
ALANGO ARBA,6
ALANGO ARBA,6
ALIKUNE,17
ALIKUNE,17
DADAAB,117
DADAAB,117
DAGAHALEY,311
DAGAHALEY,311
KUMAHUMATO,34
KUMAHUMATO,34
LABISIGALE,53
LABISIGALE,54
WELHAR,52
MATHAGIS,27
MATHAGIS,27
DERTU,16
DERTU,16
DERTU,16
LIBOI,13
DAMAJALE,7
DAMAJALE,8
KOKAR,4
KULAN,55
KULAN,55
LIBOI,22
HARHAR,18
LIBOI,24
FAFI,9
BURA,7
BURA,5
BURA,9
JAMBELE,2
GUYO,44
GUYO,44
KAMUTHE,9
KAMUTHE,10
WARABLE,9
MANSABUBU,4
GARASWEINO,4
MANSABUBU,4
NANIGHI,9
ABAQDERA,23
NANIGHI,8
GALMAGALA,5
BULLA GOLOL,4
BULLA GOLOL,15
HAJIJIMAY,3
GALMAGALA,5
DOI,30
GALMAGALA,20
MARERKADER,1
GUBIS,12
DEKAHARJA,22
GUBIS,10
JARAJILA,11
ALINJUGUR,34
ALINJUGUR,34
AMUMA,5
AMUMA,5
FAFI,3
FAFI,3
HAGADERA,101
HAGADERA,101
RUQA,
RUQA,
WEL MERER,15
WEL MERER,15
YUMBIS,4
YUMBIS,4
GARISSA,49
CENTRAL,211
GALBET,"2,445"
GALBET,"2,445"
IFTIN EAST,"2,408"
IFTIN EAST,"2,408"
IFTIN WEST,"2,372"
IFTIN WEST,"2,372"
MADINA,758
MADINA EAST,975
MADINA WEST,478
MODIKA,6
MODIKA,6
TOWNSHIP,"6,444"
TOWNSHIP,"6,444"
WABERI EAST,312
WABERI EAST,312
WABERI WEST,"3,620"
TAWAKAL,"2,727"
WABERI WEST,"3,850"
KORAKORA,14
BOURALGY,19
BOURALGY,19
JARRIOT,32
JARRIOT,32
KORAKORA,9
ELDERT,3
KORAKORA,36
SANKURI,10
ABDISAMIT,3
ABDISAMIT,7
LAAGO,2
OWLIYA,3
RAYA,42
ATHEYLEY,66
RAYA,35
SANKURI,26
BALICH,147
DOLOLO,31
SANKURI,49
SHABAH,126
SHITLE,4
SHIMBIREY,5
SHIMBIREY,5
HULUGHO,17
BODHAI,14
BODHAI,9
BODHAI,13
DOLOLO,5
JALISH,19
BULTOHAMA,18
FALAMA,16
JALISH,24
HULUGHO,16
BOMA,4
BOMA,4
ELKAMBERE,28
ELKAMBERE,44
KURDE,14
SARIRA,39
GARABEY,55
GARABEY,47
SINAI,63
GESIREB,130
GESIREB,130
HADI,3
HADI,3
IRE,3
HULUGHO,"1,491"
HULUGHO,"1,491"
JILOMATA,50
JILOMATA,50
KORAN HINDI,46
DOI,116
KORAN HINDI,29
MUFTU,73
MUFTU,73
TUMTISH,23
TUMTISH,23
WARDEIJAB,5
WARDEIJAB,5
SANGAILU,21
EGE,20
EGE,20
GEDILUN,9
GEDILUN,9
HANDARO,11
HANDARO,18
SABENAL,3
MARE,24
MARE,24
SANGAILU,40
MATAARBA,17
SANGAILU,541
WAKAB-HAREY,72
WAKAB-HAREY,72
IJARA,58
IJARA,71
BULA GOLOL,111
BULA GOLOL,111
IJARA,129
IJARA,874
WARDEGOGA,51
SANGOLE,26
BULLA WACHA,31
SANGOLE,23
KOTILLE,93
ABALATIRO,337
ABALATIRO,337
KORISA,28
KORISA,28
KOTILLE,172
BULA WARIDE,223
KOTILLE,159
MASALANI,68
GABABA,14
ABDI GURE,12
GABABA,15
GUMAREY,139
GUMAREY,139
HARA,23
HARA,70
QARMADHA,16
RAHMA,11
M. DAHIR,158
M. DAHIR,158
MASALANI,"1,792"
MASALANI,"1,792"
TORABORA,539
BULA HAJI,539
RUQA,22
GERILLE,52
GERILLE,52
RUQA,30
RUQA,30
WARSAME,12
WARSAME,12
LAGDERA,8
BENANE,7
BENANE,18
BENANE,24
HAGARJERER,14
ELDERE,5
ALI SAGAR,
BULLO,18
ELDERE,16
TOKOJO,3
TOKOJO,3
MODOGASHE,8
BARKUKE,13
GARSE,13
ILAN,8
ILAN,8
MAALIMIN,4
DIHILE,3
MAALIMIN,18
WAYAMAJIBRIL,1
MODOGASHE,13
JANJU,3
JILANGO,8
MODOGASHE,19
SHANT ABAQ,9
AFWEIN,3
AFWEIN,3
BARAKI,14
BARAKI,14
GOREAL,22
GOREAL,22
GURUFA,13
CHERON,10
GURUFA,17
SHANT ABAK,5
SHANT ABAK,5
WAJIR,14
BUNA,13
BUNA,9
BATALU,13
BASNECHA,67
BATALU,9
KUROW,8
BUTE WAYAMA,2
BUTE WAYAMA,13
SALA,1
BOJI,5
BOJI,5
BUNA,30
BERAMO,62
BUNA,777
FUNANBUA,124
GARSEAKE,2
EL-BORUIDO,1
EL-BORUIDO,1
INGIRIR,7
INGIRIR,3
JIBDER,30
MALKAGUFU,13
FULO,18
MALKAGUFU,12
MASALALE NORTH,14
MASALALE NORTH,14
KORONDILE,20
BASIR NORTH,9
BASIR NORTH,9
GOLBO,8
GOLBO,8
JARTE WEST,8
KORONDILE,53
KOBOLE,11
KORONDILE,174
NYATTA,14
LAKOLE NORTH,10
BITOYREBAY,10
LAKOLE NORTH,10
SAA-KUNO,9
LENSAYU,22
KOBEDATACHA,14
LENSAYU,24
HARADE,24
HARADE,24
WELMARER,23
SIREY,6
SIREY,6
ELDAS,20
ANOLE,49
ANOLE,32
ANOLE,32
JUKALA,46
JUKALA,73
TOWFIQ,35
MAJABOW,71
MAJABOW,71
MALKAGUFUL SOUTH,92
MALKAGUFUL SOUTH,92
WARADEY,75
WARADEY,75
WARGADUD,54
WARGADUD,54
DELA,16
ABDIWAQO,18
ABDIWAQO,18
DELA,13
DELA,13
HARAGAL WEST,11
DELA YARE,17
DELA YARE,17
ELDAS,15
ARESWARJI,14
ARESWARJI,14
BASIR,136
BASIR,136
BULLASHAIR,348
BULLASHAIR,348
DAADANTALAI,24
DADHANTALAI,24
ELDAS,186
ELDAS,333
WAGBERI,143
KILKILEY,9
KILKILEY,9
LAKOLE SOUTH,7
LAKOLE SOUTH,7
MASALALE,23
MASALALE,23
EL-NUR,25
BALATUN AMIN,25
BALATUL AMIN,25
BIAD,17
BIAD,48
ELYUNIS WEST,6
DODHA,368
DODHA,368
EL-NUR,24
EL-NUR,24
TOHIID,64
TOWHIID,64
HABASWEIN,16
BANANE,14
BANANE,21
BANANE,21
DABLEY,6
DABLEY,6
ILDALATA,35
TURGUDA,35
SALA,15
SALA,15
SARIF,12
SARIF,12
DADAJABULLA,17
BROON,23
BROON,23
DADAJABULLA,53
DADAJABULLA,53
ELIMA DAGOL,5
ELIMA DAGOL,5
GARASKA,7
GARASKA,7
GETWAB,5
GETWAB,5
LAGDUB,18
LAGDUB,18
HABASWEIN,21
ABAKORE,18
ABAKORE,18
ABORE,2
ABORE,2
ALIDUMAL,1
ALIDUMAL,1
DALSAN,20
DALSAN,20
DILMANYALE,25
DILMANYALE,50
DULGUB,5
FADIWEIN,8
FADIWEIN,8
HABASWEIN,"8,404"
CENTRAL,"8,404"
KARU,3
ALLANUS,3
KIBILAY,473
BULLA JUU,355
KIBILAY,"7,449"
LAGBOGOL,49
LAGBOGOL,49
LAGDIMA,14
LAGDIMA,14
MATHAHLIBAH,5
MATHAHLIBAH,5
MERI,23
AQALAAR,19
MERI,27
NDEGE,436
NDEGE,436
SILIGLE,81
SILIGLE,81
TESORIE,12
TESORIE,12
UDHOLE,2
UDHOLE,2
SABULI,11
DAGAHLEY,15
ABDILLE GAB,20
DAGAHLEY,20
MATHAHBAQAY,9
WELARI,10
DARFUR,4
DARFUR,4
FINI,27
FINI,27
LAMBARAHA,19
LAMBARAHA,19
SABULI,12
ARABLOW,5
ISKEDEG,9
SABULI,63
SHIDLEY,6
SHIMBIRBUL,2
SHIMBIRBUL,2
TARBAJ,6
KOTULO,6
AUSMUDULE,3
AUSMUDULE,1
KAJAJA II,6
BOJIGARAS,8
BOJIGARAS,8
DASHEG,14
DASHEG,9
KAJAJA I,51
KOTULO,6
EL-KOTULO,8
KOTULO,6
LAFALEY,11
JOWHAR,36
LAFALEY,8
WARGADUD,4
HUNGAI,6
WARGADUD,4
MANSA,3
BURMAYO,5
BURMAYO,5
ELBEN,7
ELBEN,7
MANSA,2
MANSA,2
OGORALE,2
OGORALE,2
SARMAN,8
DAMBAS,9
DAMBAS,7
JAIJAI,17
MACHINE BEN,23
DUNTO,5
BASANIJA,9
DUNTO,4
GUNANA,10
GUNANA,7
KORAMA,96
SARMAN,8
BERJANAI,40
SARMAN,5
TARBAJ,7
HARAGAL,6
HARAGAL,5
MAJABOW,7
KATOTE,8
HASSAN YAROW,15
KATOTE,6
TARBAJ,7
ELYUNIS,5
TARBAJ,8
WAJIR EAST,27
CENTRAL,726
ALIMAOW,"4,313"
ALIMAOW,"4,313"
BARAZA PARK,"5,010"
BARAZA PARK,"5,010"
BARWAQO,839
BARWAQO,839
MAALIM SALAT,301
ELMI,44
MAALIM SALAT,"1,183"
FURAHA,628
BULLA GADUD,568
FURAHA,698
GOT-RAHMA,67
GOT-RAHMA,67
HALANE,"1,576"
HALANE,"1,576"
HODHAN,161
HODHAN,161
JOGBARO,956
GOT-ADE,"1,212"
MAKOROR,755
JOGOO,"8,167"
