County/Sub County,Visual,,,Hearing ,,,Mobility,,,Cognition,,,Self Care,,,Communication,,
,Total*,Male,Female,Total*,Male,Female,Total*,Male,Female,Total*,Male,Female,Total*,Male,Female,Total*,Male,Female
RONGAI,850,374,476,377,203,174,"1,217",496,721,559,242,317,461,201,260,364,203,161
SUBUKIA,856,339,517,324,152,172,"1,069",383,686,564,261,303,339,159,180,239,136,103
NAROK,"2,744","1,254","1,490","1,822",878,944,"3,554","1,585","1,969","1,543",729,814,"1,543",743,800,"1,338",756,582
NAROK EAST,418,185,233,174,85,89,490,192,298,160,72,88,140,63,77,131,78,53
NAROK NORTH,637,269,368,317,159,158,675,323,352,305,140,165,297,147,150,255,143,112
NAROK SOUTH,491,224,267,416,192,224,683,304,379,336,174,162,348,178,170,294,163,131
NAROK WEST,421,194,227,284,139,145,554,247,307,213,108,105,231,113,118,198,129,69
TRANS MARA EAST,213,108,105,214,91,123,401,161,240,202,94,108,198,95,103,175,98,77
TRANS MARA WEST,564,274,290,417,212,205,751,358,393,327,141,186,329,147,182,285,145,140
MAU FOREST,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
KAJIADO,"4,009","1,702","2,306","1,706",806,900,"3,571","1,549","2,022","1,764",818,946,"1,658",786,872,"1,663",905,758
ISINYA,616,292,324,181,81,100,427,203,224,192,73,119,205,88,117,214,110,104
KAJIADO CENTRAL,508,211,297,288,140,148,446,191,255,208,103,105,235,111,124,206,114,92
KAJIADO NORTH,"1,165",488,677,433,206,227,"1,060",450,610,555,265,290,494,243,251,495,277,218
KAJIADO WEST,680,264,415,310,142,168,635,252,383,290,132,158,267,128,139,213,120,93
LOITOKITOK,723,305,418,351,166,185,695,298,397,389,186,203,331,163,168,420,224,196
MASHUURU,317,142,175,143,71,72,308,155,153,130,59,71,126,53,73,115,60,55
KERICHO,"2,300","1,053","1,247","1,433",705,728,"3,722","1,596","2,125","1,861",882,979,"1,865",908,957,"1,467",836,631
BELGUT,292,121,171,218,107,111,589,230,359,264,124,140,297,138,159,225,123,102
BURETI,500,244,256,318,165,153,842,385,457,423,197,226,480,232,248,371,213,158
KERICHO EAST,463,213,250,225,117,108,714,309,405,352,163,189,318,151,167,249,143,106
KIPKELION,327,142,185,198,104,94,491,204,286,221,109,112,206,99,107,159,87,72
LONDIANI,399,194,205,235,95,140,605,252,353,343,156,187,301,146,155,241,140,101
SOIN SIGOWET,319,139,180,239,117,122,481,216,265,258,133,125,263,142,121,222,130,92
BOMET,"2,334","1,070","1,264","1,610",799,811,"3,931","1,645","2,285","1,962","1,005",957,"2,007","1,005","1,002","1,551",885,666
BOMET EAST,511,250,261,320,170,150,751,312,439,351,171,180,346,153,193,259,151,108
CHEPALUNGU,457,207,250,335,151,184,855,347,507,429,223,206,445,239,206,336,194,142
KONOIN,358,153,205,214,117,97,567,223,344,275,132,143,308,142,166,256,136,120
SOTIK,605,258,347,458,223,235,"1,049",464,585,521,294,227,512,277,235,400,232,168
BOMET CENTRAL,403,202,201,283,138,145,709,299,410,386,185,201,396,194,202,300,172,128
KAKAMEGA,"17,706","7,274","10,431","8,507","3,627","4,879","19,273","7,355","11,917","11,357","4,416","6,940","5,752","2,686","3,065","5,826","3,094","2,732"
BUTERE,"1,544",634,910,783,330,453,"1,763",702,"1,061",996,383,613,507,224,283,475,238,237
KAKAMEGA CENTRAL,"1,494",616,878,571,261,310,"1,561",617,944,866,330,536,502,241,261,514,281,233
KAKAMEGA EAST,"1,515",623,892,736,293,443,"1,764",662,"1,101","1,131",397,734,556,234,321,503,252,251
KAKAMEGA NORTH,"1,824",806,"1,018",902,410,492,"1,977",817,"1,160","1,014",447,567,543,288,255,629,346,283
KAKAMEGA SOUTH,842,344,498,434,181,253,"1,200",507,693,700,276,424,468,234,234,332,175,157
KHWISERO,"2,652","1,012","1,639","1,180",461,719,"3,006","1,007","1,999","1,750",638,"1,111",639,274,365,574,294,280
LIKUYANI,"1,390",549,841,538,222,315,"1,299",491,808,722,296,426,466,213,253,627,341,286
LUGARI,918,359,559,375,158,217,963,351,612,523,229,294,313,151,162,319,157,162
MATETE,412,172,240,243,112,131,435,196,239,255,114,141,147,75,72,168,88,80
MATUNGU,967,406,561,627,281,346,"1,093",434,659,665,262,403,425,199,226,455,235,220
MUMIAS EAST,"1,550",661,889,761,345,416,"1,637",577,"1,060","1,041",384,657,411,194,217,434,271,163
MUMIAS WEST,730,291,439,439,165,274,847,325,522,496,191,305,284,127,157,316,156,160
NAVAKHOLO,"1,868",801,"1,067",918,408,510,"1,728",669,"1,059","1,198",469,729,491,232,259,480,260,220
VIHIGA,"6,933","2,782","4,151","3,187","1,311","1,876","9,630","3,519","6,111","5,139","1,933","3,206","2,599","1,166","1,433","2,045","1,120",925
EMUHAYA,"1,353",533,820,695,287,408,"1,876",700,"1,176","1,165",427,738,492,229,263,389,206,183
VIHIGA,"1,190",476,714,500,220,280,"1,768",623,"1,145",848,288,560,454,186,268,356,193,163
SABATIA,"1,150",465,685,512,209,303,"1,692",612,"1,080",853,332,521,563,248,315,401,219,182
LUANDA,"1,497",617,880,680,286,394,"1,919",738,"1,181","1,026",425,601,439,222,217,412,256,156
HAMISI,"1,743",691,"1,052",800,309,491,"2,375",846,"1,529","1,247",461,786,651,281,370,487,246,241
KAKAMEGA FOREST,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
BUNGOMA,"10,585","4,592","5,993","5,457","2,491","2,966","10,582","4,393","6,189","6,203","2,652","3,549","3,575","1,759","1,816","3,784","2,120","1,664"
BUMULA,"1,524",699,825,877,387,490,"1,593",626,967,964,387,577,517,256,261,531,295,236
BUNGOMA CENTRAL,"1,471",629,842,709,325,384,"1,322",528,794,911,361,549,380,175,205,444,265,179
BUNGOMA EAST,685,288,397,368,177,191,665,296,369,385,181,204,232,127,105,214,133,81
BUNGOMA NORTH,739,303,436,342,166,176,692,281,411,448,184,264,264,123,141,273,148,125
BUNGOMA SOUTH,"1,415",595,820,682,303,379,"1,442",607,835,726,348,378,457,239,218,610,347,263
CHEPTAIS,502,243,259,292,150,142,577,265,312,315,137,177,242,123,119,196,108,88
KIMILILI,"1,154",520,634,590,267,323,"1,109",472,637,626,269,357,388,189,199,394,198,196
MT. ELGON,358,164,194,204,101,103,432,207,225,220,101,119,166,97,69,176,98,78
BUNGOMA WEST,967,407,560,529,241,288,943,382,561,531,237,294,321,156,165,343,187,156
TONGAREN,635,267,368,313,130,183,745,276,469,456,177,279,244,104,140,242,125,117
WEBUYE WEST,"1,130",475,655,547,241,306,"1,051",448,603,617,268,349,361,169,192,357,214,143
MT. ELGON FOREST,5,2,3,4,3,1,11,5,6,4,2,2,3,1,2,4,2,2
BUSIA,"7,290","3,031","4,259","3,806","1,609","2,197","8,463","3,157","5,306","4,716","1,886","2,830","2,608","1,200","1,408","2,506","1,338","1,168"
BUNYALA,"1,211",481,730,485,194,291,"1,383",472,911,723,251,472,322,142,180,266,151,115
BUSIA,"1,001",394,607,444,174,270,998,371,627,501,216,285,331,146,185,341,190,151
BUTULA,"1,070",417,653,623,274,349,"1,437",509,928,688,262,426,491,207,284,402,199,203
NAMBALE,831,369,462,434,188,246,876,342,534,522,226,296,272,140,132,257,145,112
SAMIA,"1,322",528,794,733,281,452,"1,704",568,"1,136","1,007",361,646,496,212,284,441,209,232
TESO NORTH,652,305,347,409,182,227,763,351,412,460,214,246,288,148,140,329,187,142
TESO SOUTH,"1,203",537,666,678,316,362,"1,302",544,758,815,356,459,408,205,203,470,257,213
SIAYA,"14,005","5,281","8,724","6,861","2,734","4,127","14,749","4,903","9,846","7,945","2,950","4,995","4,025","1,722","2,303","3,336","1,775","1,561"
SIAYA,"3,225","1,199","2,026","1,534",607,927,"3,603","1,123","2,480","1,870",697,"1,173",923,386,537,834,436,398
GEM,"2,612",966,"1,646","1,389",557,832,"2,913",978,"1,935","1,685",612,"1,073",761,336,425,625,325,300
UGENYA,"1,680",658,"1,022",910,357,553,"2,180",727,"1,453","1,087",434,653,629,284,345,487,272,215
UGUNJA,"1,020",381,639,527,205,322,"1,258",422,836,619,237,382,350,160,190,299,157,142
BONDO,"3,095","1,211","1,884","1,385",570,815,"2,612",938,"1,674","1,426",527,899,703,289,414,548,299,249
RARIEDA,"2,373",866,"1,507","1,116",438,678,"2,183",715,"1,468","1,258",443,815,659,267,392,543,286,257
KISUMU,"17,606","6,874","10,732","7,291","3,004","4,287","16,196","5,730","10,466","8,190","3,151","5,039","4,288","1,840","2,448","3,409","1,813","1,596"
KISUMU EAST,"2,768","1,139","1,629",952,432,520,"2,187",828,"1,359","1,072",423,649,561,263,298,490,268,222
KISUMU CENTRAL,"1,421",606,815,413,181,232,894,344,550,362,172,190,292,131,161,267,147,120
KISUMU WEST,"3,113","1,213","1,900","1,239",523,716,"2,815",996,"1,819","1,435",566,869,734,322,412,564,306,258
SEME,"2,437",897,"1,540","1,242",474,768,"2,572",817,"1,755","1,365",467,898,634,253,381,468,228,240
MUHORONI,"1,966",787,"1,179",953,411,542,"2,019",761,"1,258",926,412,514,572,256,316,468,277,191
NYANDO,"2,791","1,054","1,737","1,149",455,694,"2,663",941,"1,722","1,578",574,"1,004",671,279,392,572,294,278
NYAKACH,"3,110","1,178","1,932","1,343",528,815,"3,046","1,043","2,003","1,452",537,915,824,336,488,580,293,287
HOMA BAY,"16,852","6,547","10,305","8,388","3,522","4,865","17,523","6,009","11,514","10,329","3,682","6,647","4,783","2,014","2,769","3,708","1,933","1,775"
HOMA BAY,"1,329",526,803,665,307,358,"1,232",453,779,710,259,451,329,134,195,317,165,152
NDHIWA,"3,138","1,204","1,934","1,810",779,"1,030","3,388","1,193","2,195","2,304",792,"1,512",992,404,588,776,380,396
RACHUONYO NORTH,"3,677","1,374","2,303","1,493",582,911,"3,651","1,234","2,417","1,964",671,"1,293",955,387,568,700,362,338
RACHUONYO EAST,"1,699",664,"1,035",900,382,518,"1,987",672,"1,315","1,150",459,691,555,238,317,427,232,195
RACHUONYO SOUTH,"1,546",595,951,769,302,467,"1,501",522,979,997,366,631,517,236,281,354,190,164
RANGWE,"1,628",602,"1,026",870,335,535,"1,729",575,"1,154","1,041",320,721,490,182,308,358,180,178
SUBA NORTH,"2,233",932,"1,301","1,041",482,559,"2,027",672,"1,355","1,198",440,758,486,214,272,418,229,189
SUBASOUTH,"1,602",650,952,840,353,487,"2,008",688,"1,320",965,375,590,459,219,240,358,195,163
MIGORI,"11,141","4,648","6,492","6,065","2,613","3,452","11,064","4,154","6,909","6,372","2,476","3,896","3,519","1,482","2,036","3,177","1,627","1,550"
AWENDO,"1,614",648,966,799,350,449,"1,583",598,985,902,329,573,413,160,253,352,202,150
KURIA EAST,721,320,401,360,179,181,736,286,450,400,184,216,227,105,122,222,121,101
KURIA WEST,"1,183",558,625,682,340,342,"1,257",560,697,692,300,392,461,226,235,499,274,225
NYATIKE,"2,421",937,"1,484","1,301",500,801,"2,209",769,"1,439","1,426",486,940,683,249,433,632,294,338
RONGO,"1,480",585,895,720,305,415,"1,392",519,873,791,321,470,452,201,251,369,188,181
SUNA EAST,"1,001",457,544,585,272,313,"1,067",412,655,544,207,337,320,143,177,310,166,144
SUNA WEST,866,361,504,539,237,302,979,362,617,508,216,292,331,129,202,290,134,156
URIRI,"1,855",782,"1,073","1,079",430,649,"1,841",648,"1,193","1,109",433,676,632,269,363,503,248,255
KISII,"13,580","5,711","7,869","5,663","2,397","3,265","16,175","5,968","10,206","9,636","3,510","6,125","5,815","2,622","3,192","3,975","2,104","1,870"
ETAGO,729,342,387,345,163,182,854,315,539,488,182,306,342,155,187,253,131,122
GUCHA,874,366,508,369,145,223,949,357,591,621,216,404,382,160,221,255,120,134
GUCHASOUTH,"1,073",443,630,462,189,273,"1,148",398,750,722,244,478,377,168,209,295,159,136
KENYENYA,"1,413",598,815,636,281,355,"1,781",686,"1,095","1,197",415,782,615,264,351,385,200,185
KISII CENTRAL,"1,567",685,882,540,239,301,"2,022",738,"1,284","1,047",377,670,653,317,336,470,243,227
KISII SOUTH,"1,046",441,605,511,203,308,"1,300",548,752,825,332,493,519,255,264,409,220,189
KITUTU CENTRAL,"1,705",712,993,679,285,394,"1,811",669,"1,142","1,016",417,599,670,297,373,474,238,236
MARANI,"1,695",688,"1,007",639,265,374,"1,869",632,"1,237","1,143",410,733,636,283,353,426,236,190
MASABA SOUTH,"1,514",605,909,609,248,361,"2,027",705,"1,322","1,057",357,700,725,315,410,394,206,188
NYAMACHE,"1,336",572,764,619,266,353,"1,612",610,"1,002","1,061",397,664,610,278,332,408,233,175
SAMETA,628,259,369,254,113,141,802,310,492,459,163,296,286,130,156,206,118,88
NYAMIRA,"6,554","2,767","3,787","2,593","1,150","1,443","8,296","3,112","5,184","4,288","1,649","2,639","2,755","1,224","1,531","1,853",968,885
BORABU,638,279,359,252,111,141,773,278,495,387,157,230,280,117,163,207,103,104
MANGA,985,384,601,431,192,239,"1,478",551,927,767,289,478,503,216,287,311,158,153
MASABA NORTH,"1,257",518,739,503,218,285,"1,663",607,"1,056",946,343,603,525,229,296,346,174,172
NYAMIRA NORTH,"2,037",893,"1,144",707,317,390,"2,262",884,"1,378","1,084",444,640,676,316,360,467,265,202
NYAMIRA SOUTH,"1,637",693,944,700,312,388,"2,120",792,"1,328","1,104",416,688,771,346,425,522,268,254
NAIROBI,"18,790","7,951","10,837","5,343","2,628","2,714","14,551","6,204","8,345","6,712","3,110","3,598","5,500","2,689","2,809","5,450","3,067","2,381"
DAGORETTI,"2,074",858,"1,216",596,313,283,"1,720",676,"1,044",835,401,434,552,274,278,501,293,208
EMBAKASI,"3,431","1,461","1,969",919,448,471,"2,084",937,"1,147","1,034",487,547,885,462,423,"1,030",592,438
KAMUKUNJI,"1,245",519,725,364,170,194,"1,058",455,603,542,230,312,411,193,218,395,204,191
KASARANI,"3,015","1,227","1,788",818,389,429,"2,194",997,"1,196","1,047",482,563,919,434,483,911,509,401
KIBRA,987,434,553,290,146,144,713,289,423,363,157,206,243,126,117,295,169,126
LANG'ATA,698,344,354,240,120,120,776,359,417,326,153,172,316,148,168,293,163,129
MAKADARA,826,377,449,234,112,122,720,297,423,273,132,141,273,127,146,255,129,126
MATHARE,"1,242",524,718,320,149,171,882,357,525,385,171,214,227,120,107,245,136,109
NJIRU,"3,040","1,218","1,822",775,379,395,"2,201",919,"1,282","1,008",456,551,837,385,452,761,426,335
STAREHE,835,341,494,260,139,121,783,343,440,308,154,154,297,157,140,298,176,122
WESTLANDS,"1,397",648,749,527,263,264,"1,420",575,845,591,287,304,540,263,277,466,270,196
