County/Sub County,Visual,,,Hearing ,,,Mobility,,,Cognition,,,Self Care,,,Communication,,
,Total*,Male,Female,Total*,Male,Female,Total*,Male,Female,Total*,Male,Female,Total*,Male,Female,Total*,Male,Female
MARSABIT,"1,137",516,621,725,336,389,"1,216",582,634,621,303,318,619,299,320,451,230,221
LOIYANGALANI,122,45,77,87,31,56,118,49,69,57,21,36,54,20,34,44,17,27
MARSABIT CENTRAL,235,108,127,133,64,69,230,103,127,103,49,54,109,59,50,77,41,36
MARSABIT NORTH,104,51,53,55,26,29,79,46,33,49,22,27,57,28,29,29,12,17
MARSABIT SOUTH,156,63,93,138,55,83,189,84,105,120,52,68,106,46,60,101,50,51
MOYALE,211,99,112,124,62,62,256,128,128,121,64,57,121,56,65,94,50,44
NORTH HORR,170,90,80,104,56,48,170,86,84,101,53,48,102,56,46,58,31,27
SOLOLO,139,60,79,84,42,42,174,86,88,70,42,28,70,34,36,48,29,19
ISIOLO,"1,040",402,638,566,265,301,980,446,534,509,248,261,498,234,264,358,200,158
GARBATULLA,148,73,75,96,49,47,164,83,81,89,52,37,82,37,45,59,36,23
ISIOLO,715,257,458,365,164,201,621,278,343,333,158,175,331,157,174,220,116,104
MERTI,177,72,105,105,52,53,195,85,110,87,38,49,85,40,45,79,48,31
MERU,"19,508","7,488","12,019","9,273","4,108","5,165","19,289","7,567","11,722","14,135","6,456","7,678","7,577","4,004","3,573","4,843","2,766","2,077"
BUURI EAST,"1,452",487,965,516,212,304,"1,567",528,"1,039","1,023",424,599,493,229,264,264,145,119
BUURI WEST,"1,030",391,639,376,179,197,919,357,562,632,272,360,314,142,172,222,126,96
IGEMBE CENTRAL,"1,805",742,"1,063","1,041",501,540,"1,560",698,862,"1,362",761,601,891,549,342,576,359,217
IGEMBE NORTH,"1,388",590,798,923,419,504,"1,471",613,858,"1,081",565,516,680,384,296,432,258,174
IGEMBE SOUTH,"1,296",514,782,734,338,396,"1,116",478,638,959,473,486,629,370,259,444,276,168
IMENTI NORTH,"2,265",856,"1,409",912,383,529,"2,406",886,"1,520","1,706",720,986,788,390,398,517,296,221
IMENTI SOUTH,"3,449","1,337","2,111","1,351",593,758,"3,589","1,363","2,226","2,358","1,024","1,334","1,091",546,545,702,381,321
MERU CENTRAL,"2,414",914,"1,500","1,074",494,580,"2,611","1,027","1,584","1,616",712,904,756,371,385,462,262,200
TIGANIA CENTRAL,"1,517",590,927,860,374,486,"1,280",520,760,"1,131",545,586,634,361,273,433,244,189
TIGANIA EAST,803,315,488,454,199,255,845,352,493,681,302,378,493,264,229,253,130,123
TIGANIA WEST,"2,083",747,"1,336","1,029",413,616,"1,918",740,"1,178","1,584",656,928,808,398,410,538,289,249
MERU NATIONAL PARK,1,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
MT. KENYA FOREST,5,5,-,3,3,-,7,5,2,2,2,-,-,-,-,-,-,-
THARAKA-NITHI,"4,840","1,960","2,880","2,421","1,036","1,385","5,182","2,031","3,151","3,887","1,574","2,313","2,071",966,"1,105","1,438",789,649
IGAMBANG'OMBE,573,238,335,338,150,188,640,263,377,523,209,314,294,132,162,222,118,104
MAARA,"1,527",621,906,716,302,414,"1,828",685,"1,143","1,444",601,843,658,316,342,392,225,167
MERU SOUTH,"1,212",454,758,487,207,280,"1,319",502,817,975,387,588,513,245,268,378,206,172
THARAKA NORTH,476,203,273,313,134,179,456,200,256,318,127,191,223,99,124,173,96,77
THARAKA SOUTH,"1,052",444,608,567,243,324,938,381,557,627,250,377,383,174,209,273,144,129
MT. KENYA FOREST,-,-,-,-,-,-,1,-,1,-,-,-,-,-,-,-,-,-
EMBU,"9,130","3,321","5,809","3,866","1,588","2,277","10,030","3,514","6,515","7,043","2,884","4,158","3,429","1,675","1,754","2,523","1,387","1,135"
EMBU EAST,"2,160",777,"1,383",902,364,538,"2,752",963,"1,789","1,985",790,"1,195",915,450,465,636,361,275
EMBU NORTH,"1,141",378,763,383,159,224,"1,310",448,862,872,368,504,459,213,246,329,173,156
EMBU WEST,"1,495",515,980,506,217,289,"1,596",553,"1,043","1,011",444,567,535,243,292,404,213,191
MBEERESOUTH,"2,516",964,"1,552","1,163",488,674,"2,548",894,"1,653","1,824",774,"1,049",913,505,408,654,408,245
MBEERE NORTH,"1,818",687,"1,131",911,359,552,"1,824",656,"1,168","1,351",508,843,607,264,343,500,232,268
MT. KENYA FOREST,-,-,-,1,1,-,-,-,-,-,-,-,-,-,-,-,-,-
KITUI,"9,528","3,926","5,602","5,073","2,166","2,907","12,028","4,539","7,489","5,844","2,624","3,220","4,233","2,066","2,167","3,989","2,203","1,785"
IKUTHA,656,289,367,373,164,209,887,338,549,434,184,250,299,153,146,276,153,123
KATULANI,343,130,213,180,70,110,412,173,239,259,122,137,163,86,77,149,97,52
KISASI,437,180,257,226,84,142,578,217,361,285,137,148,192,96,96,200,111,89
KITUI CENTRAL,546,214,332,331,141,190,761,285,476,398,207,191,330,170,160,272,164,108
KITUI WEST,562,212,350,295,121,174,876,300,576,429,186,243,312,131,181,265,140,125
KYUSO,743,356,387,364,165,199,760,314,446,408,200,208,264,138,126,302,174,128
LOWER YATTA,679,278,401,321,135,186,767,288,479,423,180,243,278,132,146,237,137,100
MATINYANI,595,212,383,297,115,182,773,271,502,425,173,252,231,118,113,221,130,91
MIGWANI,574,205,369,296,115,181,842,281,561,405,165,240,332,154,178,289,147,142
MUMONI,286,118,168,137,50,87,330,117,213,146,63,83,105,51,54,99,57,42
MUTITU,472,200,272,278,123,155,578,216,362,217,90,127,140,67,73,167,92,75
MUTITU NORTH,294,104,190,124,52,72,355,122,233,145,59,86,105,48,57,80,45,35
MUTOMO,945,415,530,530,259,271,"1,202",494,708,545,274,271,437,222,215,435,248,
MWINGI CENTRAL,698,289,409,389,174,215,890,358,532,417,184,233,364,174,190,356,172,184
MWINGI EAST,972,405,567,515,227,288,"1,133",432,701,466,204,262,312,152,160,312,170,142
NZAMBANI,299,112,187,171,69,102,369,122,247,212,97,115,166,84,82,149,76,72
THAGICU,146,79,67,85,43,42,186,85,101,91,47,44,60,31,29,49,29,20
TSEIKURU,281,128,153,161,59,102,329,126,203,139,52,87,143,59,84,131,61,70
