Sub_County,Area_sqkm
Dagoretti,24.44505882263184
Embakasi Central,8.182378768920898
Embakasi East,85.84393310546875
Embakasi North,5.429279804229736
Embakasi South,17.54935073852539
Embakasi West,9.760805130004883
Kamukunji,8.837454795837402
Kasarani,136.2742156982422
Kibra,12.33031749725342
Kilimani,29.3557243347168
Langata,209.8090972900391
Makadara,11.99723434448242
Mathare,2.902835845947266
Roysambu,48.1043586730957
Ruaraka,7.179671764373779
Starehe,16.83635330200195
Westlands,72.70425415039062
